Complex,1,176,176,176,,1,30976,30976,30976,,,,,,,,,,,,SBFL,HARU,RUKA,HAKA
SimplexOptimizer,492,703,1051,37,,242064,494209,1104601,1369,,,,,,,,,,,,26418,16841,18237,11746
SimplexOptimizer,506,717,1065,51,,256036,514089,1134225,2601,,,,,,,,,,,,,,,
GaussNewtonOptimizer,1636,20,2012,80,,2676496,400,4048144,6400,,,,,,,,,,,,,,,
GaussNewtonOptimizer,1638,22,2014,82,,2683044,484,4056196,6724,,,,,,,,,,,,,,,
GaussNewtonOptimizer,1690,74,2066,134,,2856100,5476,4268356,17956,,,,,,,,,,,,,,,
LevenbergMarquardtOptimizer,1806,1872,103,524,,3261636,3504384,10609,274576,,,,,,,,,,,,,,,
LevenbergMarquardtOptimizer,1808,1874,105,526,,3268864,3511876,11025,276676,,,,,,,,,,,,,,,
LevenbergMarquardtOptimizer,1954,2020,251,672,,3818116,4080400,63001,451584,,,,,,,,,,,,,,,
DiscreteDistribution,8,40,40,40,,64,1600,1600,1600,,,,,,,,,,,,,,,
threed/Line,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,
MultivariateNormalDistribution,15,15,15,15,,225,225,225,225,,,,,,,,,,,,,,,
Weight,1378,1378,1378,1378,,1898884,1898884,1898884,1898884,,,,,,,,,,,,,,,
Weight,1379,1379,1379,1379,,1901641,1901641,1901641,1901641,,,,,,,,,,,,,,,
Weight,1380,1380,1380,1380,,1904400,1904400,1904400,1904400,,,,,,,,,,,,,,,
Weight,77,77,77,77,,5929,5929,5929,5929,,,,,,,,,,,,,,,
CMAESOptimizer,174,6,6,6,,30276,36,36,36,,,,,,,,,,,,,,,
CMAESOptimizer,180,12,12,12,,32400,144,144,144,,,,,,,,,,,,,,,
CMAESOptimizer,10,49,49,49,,100,2401,2401,2401,,,,,,,,,,,,,,,
OpenMapRealVector,73,11,11,38,,5329,121,121,1444,,,,,,,,,,,,,,,
OpenMapRealVector,74,12,12,39,,5476,144,144,1521,,,,,,,,,,,,,,,
OpenMapRealVector,75,13,13,40,,5625,169,169,1600,,,,,,,,,,,,,,,
OpenMapRealVector,76,14,14,41,,5776,196,196,1681,,,,,,,,,,,,,,,
OpenMapRealVector,8,8,8,8,,64,64,64,64,,,,,,,,,,,,,,,
MannWhitneyUTest,61,61,61,61,,3721,3721,3721,3721,,,,,,,,,,,,,,,
SimplexTableau,30,32,32,31,,900,1024,1024,961,,,,,,,,,,,,,,,
ListPopulation,1,2,2,2,,1,4,4,4,,,,,,,,,,,,,,,
Complex,14,80,80,80,,196,6400,6400,6400,,,,,,,,,,,,,,,
Complex,4,75,75,75,,16,5625,5625,5625,,,,,,,,,,,,,,,
Complex,15,69,69,69,,225,4761,4761,4761,,,,,,,,,,,,,,,
Complex,9,70,70,70,,81,4900,4900,4900,,,,,,,,,,,,,,,
BOBYQAOptimizer,1857,8,8,8,,3448449,64,64,64,,,,,,,,,,,,,,,
BOBYQAOptimizer,1859,10,10,10,,3455881,100,100,100,,,,,,,,,,,,,,,
BOBYQAOptimizer,1870,21,21,21,,3496900,441,441,441,,,,,,,,,,,,,,,
EmbeddedRungeKuttaIntegrator,90,113,113,113,,8100,12769,12769,12769,,,,,,,,,,,,,,,
BracketingNthOrderBrentSolver,59,59,59,59,,3481,3481,3481,3481,,,,,,,,,,,,,,,
BracketingNthOrderBrentSolver,302,302,302,302,,91204,91204,91204,91204,,,,,,,,,,,,,,,
Variance,28,28,28,28,,784,784,784,784,,,,,,,,,,,,,,,
SimplexTableau,76,77,77,78,,5776,5929,5929,6084,,,,,,,,,,,,,,,
SummaryStatistics,138,138,138,138,,19044,19044,19044,19044,,,,,,,,,,,,,,,
SummaryStatistics,139,139,139,139,,19321,19321,19321,19321,,,,,,,,,,,,,,,
SummaryStatistics,140,140,140,140,,19600,19600,19600,19600,,,,,,,,,,,,,,,
AbstractIntegrator,291,291,291,291,,84681,84681,84681,84681,,,,,,,,,,,,,,,
AbstractIntegrator,339,339,339,339,,114921,114921,114921,114921,,,,,,,,,,,,,,,
AbstractIntegrator,348,348,348,348,,121104,121104,121104,121104,,,,,,,,,,,,,,,
OpenMapRealMatrix,2,2,2,2,,4,4,4,4,,,,,,,,,,,,,,,
Complex,1,51,60,51,,1,2601,3600,2601,,,,,,,,,,,,,,,
Complex,131,179,188,179,,17161,32041,35344,32041,,,,,,,,,,,,,,,
Complex,5,65,62,58,,25,4225,3844,3364,,,,,,,,,,,,,,,
Complex,2,52,60,52,,4,2704,3600,2704,,,,,,,,,,,,,,,
Complex,265,314,322,314,,70225,98596,103684,98596,,,,,,,,,,,,,,,
BaseSecantSolver,405,405,405,405,,164025,164025,164025,164025,,,,,,,,,,,,,,,
BaseSecantSolver,373,373,373,373,,139129,139129,139129,139129,,,,,,,,,,,,,,,
BaseSecantSolver,374,374,374,374,,139876,139876,139876,139876,,,,,,,,,,,,,,,
BaseSecantSolver,375,375,375,375,,140625,140625,140625,140625,,,,,,,,,,,,,,,
BaseSecantSolver,376,376,376,376,,141376,141376,141376,141376,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,652953.2857,343630.875,389965.5893,145977.5714,,,,,,,,,,,,,,,
