"Complex","1","211",
"SimplexOptimizer","492","534",
"SimplexOptimizer","506","548",
"GaussNewtonOptimizer","1636","1636",
"GaussNewtonOptimizer","1638","1638",
"GaussNewtonOptimizer","1690","1690",
"LevenbergMarquardtOptimizer","1806","1806",
"LevenbergMarquardtOptimizer","1808","1808",
"LevenbergMarquardtOptimizer","1954","1954",
"DiscreteDistribution","8","40",
"threed/Line","1","1",
"MultivariateNormalDistribution","15","15",
"Weight","1378","1378",
"Weight","1379","1379",
"Weight","1380","1380",
"Weight","77","77",
"CMAESOptimizer","174","6",
"CMAESOptimizer","180","12",
"CMAESOptimizer","10","49",
"OpenMapRealVector","73","42",
"OpenMapRealVector","74","43",
"OpenMapRealVector","75","44",
"OpenMapRealVector","76","45",
"OpenMapRealVector","8","8",
"MannWhitneyUTest","61","92",
"SimplexTableau","30","30",
"ListPopulation","1","11",
"Complex","14","99",
"Complex","4","100",
"Complex","15","93",
"Complex","9","94",
"BOBYQAOptimizer","1857","8",
"BOBYQAOptimizer","1859","10",
"BOBYQAOptimizer","1870","21",
"EmbeddedRungeKuttaIntegrator","90","113",
"BracketingNthOrderBrentSolver","59","71",
"BracketingNthOrderBrentSolver","302","302",
"Variance","28","31",
"SimplexTableau","76","78",
"SummaryStatistics","138","138",
"SummaryStatistics","139","139",
"SummaryStatistics","140","140",
"AbstractIntegrator","291","291",
"AbstractIntegrator","339","339",
"AbstractIntegrator","348","348",
"OpenMapRealMatrix","2","2",
"Complex","1","585",
"Complex","131","709",
"Complex","5","422",
"Complex","2","419",
"Complex","265","676",
"BaseSecantSolver","405","405",
